,Номенклатура,КлассТовара
244,03cbea76-3a31-11e0-b0ec-001517c526f0,Средне продаваемый
245,03cbea77-3a31-11e0-b0ec-001517c526f0,Средне продаваемый
246,03cbea78-3a31-11e0-b0ec-001517c526f0,Средне продаваемый
247,03cbea79-3a31-11e0-b0ec-001517c526f0,Средне продаваемый
248,03cbea7a-3a31-11e0-b0ec-001517c526f0,Наименее продаваемый
249,03cbea7b-3a31-11e0-b0ec-001517c526f0,Средне продаваемый
250,03cbea7c-3a31-11e0-b0ec-001517c526f0,Средне продаваемый
251,03cbea7d-3a31-11e0-b0ec-001517c526f0,Средне продаваемый
252,03cbea7e-3a31-11e0-b0ec-001517c526f0,Средне продаваемый
253,03cbea7f-3a31-11e0-b0ec-001517c526f0,Средне продаваемый
254,03cbea80-3a31-11e0-b0ec-001517c526f0,Средне продаваемый
255,03cbea81-3a31-11e0-b0ec-001517c526f0,Средне продаваемый
256,03cbea82-3a31-11e0-b0ec-001517c526f0,Средне продаваемый
257,03cbea83-3a31-11e0-b0ec-001517c526f0,Средне продаваемый
258,03cbea84-3a31-11e0-b0ec-001517c526f0,Средне продаваемый
259,03cbea85-3a31-11e0-b0ec-001517c526f0,Средне продаваемый
260,03cbea86-3a31-11e0-b0ec-001517c526f0,Средне продаваемый
261,03e0067e-1a66-11e1-a6ae-001517c526f0,Средне продаваемый
262,03e0067f-1a66-11e1-a6ae-001517c526f0,Средне продаваемый
263,03f80b3f-d533-11e0-a633-001517c526f0,Наименее продаваемый
264,03f90541-e102-11dc-9ddc-00001a1933df,Средне продаваемый
265,03fdaf80-f85f-11e0-9539-001517c526f0,Средне продаваемый
266,03fdaf83-f85f-11e0-9539-001517c526f0,Наименее продаваемый
267,03fdaf84-f85f-11e0-9539-001517c526f0,Наиболее продаваемый
268,03fdaf85-f85f-11e0-9539-001517c526f0,Средне продаваемый
269,03fdaf86-f85f-11e0-9539-001517c526f0,Средне продаваемый
270,03fdaf87-f85f-11e0-9539-001517c526f0,Средне продаваемый
271,04049b99-f543-11e0-98e5-001517c526f0,Наиболее продаваемый
272,04049b9a-f543-11e0-98e5-001517c526f0,Средне продаваемый
273,040a142c-f461-11e0-93dc-001517de70ad,Наименее продаваемый
274,04106435-7d33-11e0-9e54-00155d030b03,Наиболее продаваемый
275,041b7c58-9b45-11de-8bef-00151716f9f5,Средне продаваемый
276,042356cb-5a07-11de-8bf7-00151716f9f5,Наименее продаваемый
